Previous,戻る
Save and Previous,保存と戻る
Save and Next,保存して次へ
Next,次へ
Save Comment,コメントの保存
Delete Comment,コメントの削除
Edit Comment '%1',コメントの編集 '%1'
Comment Details,コメントの詳細
Review,レビュー
Product,商品
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"%1 <a href=""mailto:%2"">(%2)</a>","%1 <a href=""mailto:%2"">(%2)</a>"
Author,作成者
Please confirm to mark this comment as Not Spam,このコメントがスパムではないことを確認してください
Spam,スパム
Not Spam?,スパムではない？
Status,状態
Nickname,ニックネーム
Comment,コメント
ID,ID
Created,作成しました
Review Title,レビュータイトル
Type,タイプ
Action,アクション
Edit,編集
Delete,削除
Are you sure?,よろしいですか。
Update Status,ステータスの更新
Customer,お客様
Guest,ゲスト
Review Details,レビュー詳細
Administrator,管理者
Summary Rating,概要評価
Detailed Rating,詳細評価
Please confirm to mark this review as Not Spam,このレビューがスパムではないことを確認してください。
Visibility,表示
Summary of Review,レビューの概要
Title,タイトル
SKU,SKU
Knowledge Base,知識ベース
This feature is not available in the Lite package.,この機能はLiteパッケージでは利用できません。
Upgrade to Pro,Proへのアップグレード
Most helpful first,最も役立つものから
Most recent first,最新のものから
All stars,すべての星
One star,1つ星
Two stars,2つ星
Three stars,3つ星
Four stars,4つ星
Five stars,5つ星
All reviewers,全てのレビュアー
Verified purchase only,検証購入のみ
The comment has been deleted.,このコメントは削除されました。
Something went wrong while deleting this comment.,このコメントを削除する際に何か問題が発生したようです。
Edit Comment,コメントの編集
"The comment has been marked as ""Not Spam"" and published.","このコメントは ""スパムではない ""と判断され、公開されました。"
Something went wrong while updating this comment.,このコメントの更新時に何か問題が発生しました。
Comments on Reviews,レビューのコメント
Please select comment(s).,コメントを選択してください。
A total of %1 record(s) have been deleted.,合計 %1 レコードが削除されました。
Something went wrong while deleting these comment(s).,このコメントの削除時に何か問題が発生しました。
A total of %1 record(s) have been updated.,合計 %1 件のコメントが更新されました。
Something went wrong while updating these comment(s).,このコメントの更新時に何か問題が発生しました。
The comment was removed by another user or does not exist.,このコメントは他のユーザーによって削除されたか、存在しません。
You saved the comment.,コメントを保存しました。
"The review has been marked as ""Not Spam"" and published.",このレビューは「非スパム」としてマークされ、公開されました。
Something went wrong while updating this review.,このレビューの更新中に何か問題が発生しました。
Please select review(s).,レビューを選択してください。
Something went wrong while updating these review(s).,これらのレビューの更新中に何か問題が発生しました。
The review was removed by another user or does not exist.,このレビューは他のユーザーによって削除されたか、存在しません。
You saved the review.,レビューを保存しました。
Something went wrong while saving this review.,このレビューの保存中に何か問題が発生しました。
The test email has been sent,テストメールが送信されました。
Unable to post the comment.,コメントの投稿ができませんでした。
Thank you. Your comment has been submitted and is waiting for approval.,ありがとうございます。コメントが投稿され、承認を待っています。
Thank you. Your comment has been published.,ありがとうございます。コメントは公開されました。
Something went wrong while saving your review.,レビューを保存中に何か問題が発生しました。
Invalid session. Please reload the page and try again.,セッションが無効です。ページを再読み込みして再度お試しください。
Thank you! You submitted your review for moderation.,ありがとうございました。レビューを送信して審査を受けました。
Thank you! Your review has been published.,ありがとうございます。レビューが公開されました。
We can't post your review right now.,現在、レビューを投稿できません。
Error during Akismet API Key verification.,Akismet API Keyの検証中にエラーが発生しました。
The API Key is valid.,APIキーは有効です。
Please enter a valid API Key.,有効なAPIキーを入力してください。
Approved,承認済み
Pending,保留
Not Approved,未承認
Please enter a nickname.,ニックネームを入力してください。
Please enter a comment.,コメントを入力してください。
Please enter your email.,Eメールを入力してください。
Most Expensive,最も高い
Least Reviewed,レビュー数が少ない
Please enter the email address,Eメールアドレスを入力してください
Please enter a valid email address,有効なEメールアドレスを入力してください
Error while sending the test email.,テストメールの送信時にエラーが発生しました。
Loading...,読み込み中...
Version %1,バージョン %1
%1 out of 5 stars,5 つ星のうちの %1
Click to see all %1 star reviews,クリックしてすべての %1 星のレビューを見る
See all %1 reviews,すべての %1 レビューを見る
